14,12,23,14
14.5,12.7,23,14.9
15,13.2,23,15.6
18.2,14.7,23,17.9
18.7,15.8,23,18.7
19.9,15.5,23,18.4
21.2,15.2,23,18.1
23.5,14.8,23,17.7
25.7,14.5,23,17.4
25.4,14.2,23,17.09
25.1,13.89,23,16.79
24.8,13.59,23,16.48
24.5,13.29,23,16.18
24.2,12.98,23,15.88
23.9,12.68,23,15.58
23.6,12.38,23,15.28
23.3,12.08,23,14.97
23.0,11.78,23,14.67
22.7,11.47,23,14.37
22.4,11.17,23,14.06
22.1,10.87,23,13.76
21.8,10.56,23,13.46
21.5,10.26,23,13.16
21.2,9.95,23,12.86
20.9,9.64,23,12.55
20.6,9.34,23,12.25
20.3,9.03,23,11.95
20.0,8.72,23,11.64
19.7,8.42,23,11.34
19.39,8.11,23,11.04
19.09,7.81,23,10.73
18.79,7.51,23,10.43
18.48,7.21,23,10.12
18.18,6.91,23,9.81
17.88,6.61,23,9.51
17.57,6.31,23,9.2
17.27,6.01,23,8.89
